team,rwc_year,stage_code,stage_label,source,collected_date
France,1991,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Canada,1991,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Samoa,1991,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Wales,1991,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Argentina,1991,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Italy,1991,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Fiji,1991,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Romania,1991,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
USA,1991,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Japan,1991,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Zimbabwe,1991,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
South Africa,1995,5,Winner,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
New Zealand,1995,4,Final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
France,1995,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Scotland,1995,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
England,1995,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Ireland,1995,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Australia,1995,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Samoa,1995,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Wales,1995,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Argentina,1995,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Italy,1995,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Romania,1995,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Canada,1995,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Tonga,1995,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Japan,1995,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
USA,1995,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Ivory Coast,1995,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Australia,1999,5,Winner,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
France,1999,4,Final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
South Africa,1999,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
New Zealand,1999,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
England,1999,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Scotland,1999,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Argentina,1999,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Wales,1999,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Ireland,1999,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Italy,1999,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Samoa,1999,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Romania,1999,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Fiji,1999,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Canada,1999,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Tonga,1999,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Japan,1999,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
USA,1999,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Georgia,1999,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Spain,1999,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Uruguay,1999,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
England,2003,5,Winner,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Australia,2003,4,Final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
New Zealand,2003,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
France,2003,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
South Africa,2003,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Scotland,2003,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Ireland,2003,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Wales,2003,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Argentina,2003,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Italy,2003,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Samoa,2003,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Romania,2003,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Fiji,2003,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Canada,2003,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Tonga,2003,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Japan,2003,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
USA,2003,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Georgia,2003,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Uruguay,2003,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Namibia,2003,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
South Africa,2007,5,Winner,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
England,2007,4,Final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Argentina,2007,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
France,2007,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
New Zealand,2007,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Australia,2007,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Scotland,2007,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Fiji,2007,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Ireland,2007,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Wales,2007,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Italy,2007,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Samoa,2007,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Romania,2007,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Canada,2007,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Tonga,2007,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Japan,2007,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
USA,2007,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Georgia,2007,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Portugal,2007,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Namibia,2007,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
New Zealand,2011,5,Winner,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
France,2011,4,Final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Australia,2011,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Wales,2011,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
South Africa,2011,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
England,2011,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Ireland,2011,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Argentina,2011,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Scotland,2011,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Italy,2011,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Samoa,2011,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Romania,2011,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Fiji,2011,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Canada,2011,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Tonga,2011,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Japan,2011,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
USA,2011,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Georgia,2011,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Russia,2011,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Namibia,2011,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
New Zealand,2015,5,Winner,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Australia,2015,4,Final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
South Africa,2015,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Argentina,2015,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Ireland,2015,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Scotland,2015,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Wales,2015,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
France,2015,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
England,2015,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Italy,2015,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Samoa,2015,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Romania,2015,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Fiji,2015,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Canada,2015,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Tonga,2015,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Japan,2015,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
USA,2015,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Georgia,2015,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Uruguay,2015,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Namibia,2015,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
South Africa,2019,5,Winner,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
England,2019,4,Final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
New Zealand,2019,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Wales,2019,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Australia,2019,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Ireland,2019,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
France,2019,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Japan,2019,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Scotland,2019,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Argentina,2019,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Italy,2019,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Samoa,2019,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Fiji,2019,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Canada,2019,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Tonga,2019,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
USA,2019,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Georgia,2019,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Uruguay,2019,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Russia,2019,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Namibia,2019,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
South Africa,2023,5,Winner,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
New Zealand,2023,4,Final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
England,2023,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Argentina,2023,3,Semi-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Ireland,2023,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
France,2023,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Wales,2023,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Fiji,2023,2,Quarter-final,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Australia,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Scotland,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Italy,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Samoa,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Japan,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Canada,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Tonga,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
USA,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Georgia,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Uruguay,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Romania,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Namibia,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Chile,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
Portugal,2023,1,Pool,World Rugby (2024). RWC History. https://www.world.rugby/tournaments/rugbyworldcup/history,2024-10-01
